t,u,y
28.10000000,2.07637906,565.71429443
28.12000000,2.07637906,565.71429443
28.14000000,2.07637906,559.28576660
28.16000000,2.07637906,559.28576660
28.18000000,2.07637906,552.85717773
28.20000000,2.07637906,559.28576660
28.22000000,2.07637906,552.85717773
28.24000000,2.07637906,552.85717773
28.26000000,2.07637906,559.28576660
28.28000000,2.07637906,552.85717773
28.30000000,2.07637906,552.85717773
28.32000000,2.89896154,552.85717773
28.34000000,2.89896154,552.85717773
28.36000000,2.89896154,578.57147217
28.38000000,2.89896154,578.57147217
28.40000000,2.89896154,591.42864990
28.42000000,2.89896154,597.85717773
28.44000000,2.89896154,597.85717773
28.46000000,2.89896154,604.28576660
28.48000000,2.89896154,604.28576660
28.50000000,2.89896154,604.28576660
28.52000000,2.89896154,597.85717773
28.54000000,2.89896154,597.85717773
28.56000000,2.89896154,604.28576660
28.58000000,2.89896154,604.28576660
28.60000000,2.89896154,597.85717773
28.62000000,2.89896154,604.28576660
28.64000000,2.89896154,604.28576660
28.66000000,2.89896154,597.85717773
28.68000000,2.89896154,597.85717773
28.70000000,2.89896154,604.28576660
28.72000000,2.89896154,604.28576660
28.74000000,2.89896154,604.28576660
28.76000000,2.89896154,604.28576660
28.78000000,2.89896154,604.28576660
28.80000000,2.07637906,604.28576660
28.82000000,2.07637906,604.28576660
28.84000000,2.07637906,591.42864990
28.86000000,2.07637906,585.00006104
28.88000000,2.07637906,572.14288330
28.90000000,2.07637906,572.14288330
28.92000000,2.07637906,565.71429443
28.94000000,2.07637906,559.28576660
28.96000000,2.07637906,559.28576660
28.98000000,2.07637906,559.28576660
29.00000000,2.07637906,552.85717773
29.02000000,2.07637906,552.85717773
29.04000000,2.07637906,552.85717773
29.06000000,2.07637906,552.85717773
29.08000000,2.07637906,552.85717773
29.10000000,2.07637906,546.42858887
29.12000000,2.07637906,546.42858887
29.14000000,2.07637906,552.85717773
29.16000000,2.07637906,546.42858887
29.18000000,2.07637906,552.85717773
29.20000000,2.07637906,552.85717773
29.22000000,2.07637906,552.85717773
29.24000000,2.07637906,546.42858887
29.26000000,2.07637906,552.85717773
29.28000000,2.07637906,552.85717773
29.30000000,2.07637906,552.85717773
29.32000000,2.07637906,552.85717773
29.34000000,2.07637906,552.85717773
29.36000000,2.07637906,552.85717773
29.38000000,2.07637906,552.85717773
29.40000000,2.07637906,552.85717773
29.42000000,2.07637906,552.85717773
29.44000000,2.89896154,552.85717773
29.46000000,2.89896154,559.28576660
29.48000000,2.89896154,572.14288330
29.50000000,2.89896154,585.00006104
29.52000000,2.89896154,585.00006104
29.54000000,2.89896154,597.85717773
29.56000000,2.89896154,597.85717773
29.58000000,2.89896154,597.85717773
29.60000000,2.07637906,604.28576660
29.62000000,2.07637906,604.28576660
